Date,QQQ
2011-04-13,49.8721809387207
2011-04-14,49.78443908691406
2011-04-15,49.69671630859375
2011-04-18,49.3458137512207
2011-04-19,49.652862548828125
2011-04-20,50.7757453918457
2011-04-21,51.17926788330078
2011-04-25,51.310882568359375
2011-04-26,51.600364685058594
2011-04-27,51.951271057128906
2011-04-28,51.8723258972168
2011-04-29,51.82845687866211
2011-05-02,51.731964111328125
2011-05-03,51.4863166809082
2011-05-04,51.407379150390625
2011-05-05,51.12663269042969
2011-05-06,51.29331588745117
2011-05-09,51.4863166809082
2011-05-10,51.924964904785156
2011-05-11,51.54774856567383
2011-05-12,51.85477066040039
2011-05-13,51.24067687988281
2011-05-16,50.35467529296875
2011-05-17,50.49501419067383
2011-05-18,50.916107177734375
2011-05-19,51.06525421142578
2011-05-20,50.67924499511719
2011-05-23,49.933570861816406
2011-05-24,49.62653350830078
2011-05-25,49.819541931152344
2011-05-26,50.12656021118164
2011-05-27,50.38098907470703
2011-05-31,51.19683837890625
2011-06-01,50.08271026611328
2011-06-02,50.18798828125
2011-06-03,49.43355178833008
2011-06-06,49.029998779296875
2011-06-07,48.942283630371094
2011-06-08,48.591365814208984
2011-06-09,48.679115295410156
2011-06-10,47.933433532714844
2011-06-13,47.933433532714844
2011-06-14,48.54750442504883
2011-06-15,47.626380920410156
2011-06-16,47.44216537475586
2011-06-17,47.293575286865234
2011-06-20,47.53976058959961
2011-06-21,48.55965042114258
2011-06-22,48.207977294921875
2011-06-23,48.65636444091797
2011-06-24,47.81231689453125
2011-06-27,48.577247619628906
2011-06-28,49.29821014404297
2011-06-29,49.50042724609375
2011-06-30,50.15983963012695
2011-07-01,50.915977478027344
2011-07-05,51.17097091674805
2011-07-06,51.3380126953125
2011-07-07,52.04140853881836
2011-07-08,51.900726318359375
2011-07-11,50.9599494934082
2011-07-12,50.57309341430664
2011-07-13,50.78410720825195
2011-07-14,50.195003509521484
2011-07-15,50.86322784423828
2011-07-18,50.590667724609375
2011-07-19,51.74247360229492
2011-07-20,51.52265548706055
2011-07-21,51.86555480957031
2011-07-22,52.401885986328125
2011-07-25,52.29637145996094
2011-07-26,52.428260803222656
2011-07-27,51.074241638183594
2011-07-28,51.16216278076172
2011-07-29,50.9951171875
2011-08-01,50.75772476196289
2011-08-02,49.47404861450195
2011-08-03,49.9488410949707
2011-08-04,47.62767791748047
2011-08-05,47.32875442504883
2011-08-08,44.48004913330078
2011-08-09,46.625370025634766
2011-08-10,44.71744155883789
2011-08-11,46.68690872192383
2011-08-12,47.10013961791992
2011-08-15,47.79473114013672
2011-08-16,47.39029312133789
2011-08-17,47.10894775390625
2011-08-18,44.796573638916016
2011-08-19,43.9876823425293
2011-08-22,44.145938873291016
2011-08-23,45.96593475341797
2011-08-24,46.326416015625
2011-08-25,45.570308685302734
2011-08-26,46.71328353881836
2011-08-29,48.01454162597656
2011-08-30,48.33106231689453
2011-08-31,48.41019821166992
2011-09-01,47.970584869384766
2011-09-02,46.84517288208008
2011-09-06,46.853965759277344
2011-09-07,48.040924072265625
2011-09-08,47.82109451293945
2011-09-09,46.75725555419922
2011-09-12,47.35512924194336
2011-09-13,47.988155364990234
2011-09-14,48.673980712890625
2011-09-15,49.39491653442383
2011-09-16,49.847686767578125
2011-09-19,49.865299224853516
2011-09-20,49.64509963989258
2011-09-21,48.7818489074707
2011-09-22,47.19630432128906
2011-09-23,47.698387145996094
2011-09-26,48.253326416015625
2011-09-27,48.75542449951172
2011-09-28,48.03312301635742
2011-09-29,47.4605598449707
2011-09-30,46.236175537109375
2011-10-03,45.047027587890625
2011-10-04,45.971920013427734
2011-10-05,47.152252197265625
2011-10-06,47.94502258300781
2011-10-07,47.627925872802734
2011-10-10,49.275115966796875
2011-10-11,49.6098518371582
2011-10-12,49.85649108886719
2011-10-13,50.314552307128906
2011-10-14,51.24824905395508
2011-10-17,50.45547866821289
2011-10-18,51.08087921142578
2011-10-19,50.094322204589844
2011-10-20,49.847686767578125
2011-10-21,50.47308349609375
2011-10-24,51.52131271362305
2011-10-25,50.50833511352539
2011-10-26,50.44667434692383
2011-10-27,51.83842086791992
2011-10-28,51.91769790649414
2011-10-31,51.04564666748047
2011-11-01,49.71556854248047
2011-11-02,50.13835906982422
2011-11-03,51.17778015136719
